list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,km_da_di,ngay_dang,co_video,url
131284876,174786303,Honda Lead Fi 2010 Bạc chính chủ bstp ký ngay,Honda,Tay ga,100-175cc,2010,Đã sử dụng,7800000,7.8,TP Hồ Chí Minh,Quận 12,XE MÁY PHÚ HUY có ship liên tỉnh giá tốt,179,55555,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131284876
131284865,174786270,Honda Lead Fi 2009 màu Nâu bs47 xe zin cực êm nha,Honda,Tay ga,100-175cc,2009,Đã sử dụng,7800000,7.8,TP Hồ Chí Minh,Quận 12,XE MÁY PHÚ HUY có ship liên tỉnh giá tốt,179,45555,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131284865
131223151,174716064,Vespa 50 cc học sinh 2022,Brand_41,Xe phân khối lớn,,2022,Đã sử dụng,12500000,12.5,TP Hồ Chí Minh,Huyện Củ Chi,Vuvan kha,425,22000,4 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131223151
131089360,174559740,can ban ab thai,Honda,Tay ga,,2011,Đã sử dụng,43000000,43.0,TP Hồ Chí Minh,Thành phố Thuận An,Lê Chung,4,100000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131089360
131215004,174706593,Yamaha Freego S 2019 chính chủ khoá smartkey,Yamaha,Tay ga,,2019,Đã sử dụng,20800000,20.8,TP Hồ Chí Minh,Quận 7,Xe Cũ Hiếu CT,834,32525,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131215004
131091123,174561464,Xe máy điện Autosun A3 2023 Đỏ Mới,Brand_58,Xe phân khối lớn,,2023,Mới,11500000,11.5,TP Hồ Chí Minh,Thành phố Thủ Đức,Phong motor,33,0,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131091123
112476729,152981341,Chuyên Thu Mua Xe Mô Tô PKL - PKN Số Lượng Lớn,Brand_17,Xe côn tay,175-300cc,2022,Đã sử dụng,123456789,123.46,TP Hà Nội,Huyện Hoài Đức,Tấn Đạt MoTor Tổng Đại Lý Xe Giá Tốt Nhất Hà Nội,1,2000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/112476729
131239049,174734672,Yamaha Sirius Fi 2014 Đỏ đen,Yamaha,Xe số,100-175cc,2014,Đã sử dụng,7800000,7.8,Lâm Đồng,Thành phố Đà Lạt,Nhật,10,80000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131239049
131273152,174774700,Honda SH 125 CBS 2017 Đen 12028 km,Honda,Tay ga,,2017,Đã sử dụng,54000000,54.0,TP Hà Nội,Quận Hoàng Mai,Xe Máy Quân Oanh ,776,12028,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131273152
130981733,174435193,Sh 150cc Đk 2OO9.70829. Sm 015. Bstp. Giá nhanh.❤️,Honda,Tay ga,100-175cc,2009,Đã sử dụng,49000000,49.0,TP Hồ Chí Minh,Quận 12,LeeteeHung,103,39000,4 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/130981733
